Id	Fecha	Ganador	x	y	Perdió	Nivel	Genero	Diferencia
1	2002-dic-25	Japón	205	21	Mongolia	Sub 18	Femenil	184
2	2001-ene-01	República Democrática del Congo	208	39	Níger	Absoluta	Femenil	169
3	1996-sep-01	Japón	178	17	Bangladesh	Sub 18	Varonil	161
4	1982-ene-01	Corea del Sur	187	26	Macao	Absoluta	Femenil	161
5	1982-ene-01	China	173	18	Macao	Absoluta	Femenil	155
6	1982-ene-01	Japón	174	21	Macao	Absoluta	Femenil	153
7	2015-abr-04	Indonesia	166	14	Brunei	Sub 16	Varonil	152
8	1986-ene-01	Corea del Sur	163	24	India	Absoluta	Femenil	139
9	2001-ene-01	Angola	154	20	Níger	Absoluta	Femenil	134
10	1978-jul-01	Túnez	185	51	Mauricio	Absoluta	Varonil	134
11	1996-sep-02	China	160	27	Bangladesh	Sub 18	Varonil	133
12	1982-ene-01	China	172	39	Malasia	Absoluta	Femenil	133
13	1976-ene-01	Corea del Sur	158	25	Filipinas	Absoluta	Femenil	133
14	2002-dic-21	China	155	24	Macao	Sub 18	Femenil	131
15	1952-ene-01	U.R.S.S.	133	4	R.D.A.	Absoluta	Femenil	129
16	1956-ene-01	U.R.S.S.	153	25	Suiza	Absoluta	Femenil	128
17	1975-ene-01	Corea del Sur	163	36	Sri Lanka	Absoluta	Varonil	127
18	1974-ene-01	Centroáfrica	158	32	Tanzania	Absoluta	Varonil	126
19	2016-ago-29	Malí	143	19	Uganda	Sub 18	Femenil	124
20	1955-ene-01	Checoslovaquia	132	9	Dinamarca	Absoluta	Femenil	123
21	2001-ene-01	Kazajistán	141	20	Sri Lanka	Absoluta	Varonil	121
22	2005-ene-01	Bielorusia	138	19	Malta	Absoluta	Femenil	119
23	1989-ene-01	Centroáfrica	165	46	Zambia	Absoluta	Varonil	119
24	1975-ene-01	Japón	133	14	Jamer (Camboya)	Absoluta	Femenil	119
25	1997-ene-01	Australia	140	23	Nueva Caledonia	Absoluta	Femenil	117
26	1980-ene-01	Corea del Sur	167	50	Tailandia	Absoluta	Femenil	117
27	1978-ene-01	China	141	24	Hong Kong	Absoluta	Femenil	117
28	1978-ene-01	Corea del Sur	133	17	Sri Lanka	Absoluta	Femenil	116
29	1996-sep-06	Jordania	158	44	Bangladesh	Sub 18	Varonil	114
30	1974-ene-01	Malí	151	37	Tanzania	Absoluta	Varonil	114
31	2015-ago-16	Australia	141	29	Nueva Caledonia	Sub 16	Varonil	112
32	2002-dic-22	Corea del Sur	134	23	Mongolia	Sub 18	Femenil	111
33	2015-ago-15	Nueva Zelandia	145	36	Nueva Caledonia	Sub 16	Varonil	109
34	2001-ene-01	India	142	33	Macao	Absoluta	Varonil	109
35	1997-ene-01	Malí	140	31	Uganda	Absoluta	Femenil	109
